admissions_20_29_covid_confirmed,average_admissions_20_29_covid_confirmed,percent_change_total_admissions_all_covid_confirmed_past_7days_per_100k,total_admissions_all_influenza_confirmed_past_7days,total_admissions_all_influenza_confirmed_past_7days_per_100k
11.0,9.0,9.229466554,14.0,0.248243148
1.0,0.714285714,15.46391753,5.0,0.467824001
0.0,1.0,-23.42342342,0.0,0.0
0.0,0.0,12.5,0.0,0.0
7.0,3.571428571,-26.10966057,11.0,1.243416955
49.0,51.42857143,-21.79393229,33.0,0.063760362
15.0,12.57142857,-14.01965856,1.0,0.028048233
5.0,4.0,0.426136364,18.0,0.263575068
29.0,27.85714286,-26.76521739,15.0,0.16887727
1.0,1.428571429,-12.2244489,322.0,3.772471246
2.0,3.285714286,19.68365554,715.0,11.64983117
2.0,2.285714286,-9.322033898,20.0,0.13936078
15.0,10.14285714,-2.692055154,1.0,0.017731653
0.0,0.571428571,-16.39344262,0.0,0.0
6.0,3.142857143,-1.931330472,3.0,0.102975512
1.0,1.285714286,9.803921569,0.0,0.0
10.0,11.14285714,-34.62282398,20.0,0.157830512
0.0,0.142857143,-9.677419355,6.0,0.335746042
2.0,1.0,-18.90243902,22.0,0.68885748
11.0,22.57142857,-6.485277674,147.0,0.284023433
3.0,5.0,-27.86697248,0.0,0.0
1.0,0.571428571,-5.164319249,37.0,0.718626049
1.0,4.571428571,-12.83018868,84.0,0.662888152
1.0,2.857142857,-19.80099502,42.0,0.400454459
0.0,0.714285714,-8.612440191,11.0,0.086806782
35.0,33.85714286,-15.80398812,33.0,0.07725392
1.0,2.428571429,2.01511335,42.0,0.623865623
4.0,3.142857143,-5.911330049,6.0,0.198820069
0.0,0.714285714,12.85714286,0.0,0.0
1.0,0.714285714,-8.333333333,221.0,3.23611611
3.0,1.714285714,-25.11520737,1.0,0.0935648
8.0,6.857142857,-13.3580705,457.0,3.727887996
0.0,0.285714286,-0.888888889,7.0,0.240276194
24.0,21.85714286,11.72860552,86.0,0.271843494
11.0,8.285714286,-7.531380753,0.0,0.0
3.0,3.428571429,1.596806387,0.0,0.0
1.0,1.0,53.96825397,50.0,2.384553056
0.0,0.428571429,22.22222222,48.0,2.481379316
2.0,0.571428571,30.31914894,13.0,0.672040231
31.0,25.0,18.61330852,26.0,0.065802423
0.0,0.571428571,13.15789474,10.0,1.366969906
113.0,110.8571429,-0.636852533,112.0,0.521470209
0.0,0.571428571,29.21348315,26.0,1.239967589
5.0,7.857142857,4.55104551,17.0,0.276988993
31.0,23.14285714,5.684596577,28.0,0.09074749
13.0,12.14285714,25.03961965,2512.0,5.880662031
0.0,0.0,-100.0,0.0,0.0
3.0,1.857142857,-18.79194631,123.0,1.689858254
0.0,0.285714286,21.56862745,0.0,0.0
4.0,6.0,-22.85012285,7.0,0.114054291
10.0,11.71428571,18.14291827,6.0,0.056510888
2.0,1.285714286,30.33707865,3.0,0.143073183
1.0,0.857142857,10.82474227,6.0,0.087051105
0.0,0.428571429,-7.281553398,22.0,1.049203345
1.0,2.285714286,0.393700787,34.0,1.064597923
3.0,2.714285714,-2.133333333,143.0,1.117013927
5.0,8.857142857,-10.52195526,1.0,0.017174948
0.0,0.857142857,-30.18181818,28.0,0.940813111
3.0,2.714285714,-15.87301587,78.0,0.609280324
2.0,3.0,-18.04961506,395.0,3.085458049
7.0,5.0,-23.31606218,20.0,0.234314984
4.0,2.571428571,-17.99628942,7.0,0.150576687
1.0,2.285714286,-8.355091384,25.0,0.343467125
0.0,0.285714286,-4.255319149,5.0,0.656114594
0.0,1.0,30.09708738,4.0,0.374259201
43.0,36.71428571,3.154854477,247.0,0.470099547
1.0,0.857142857,12.0,1.0,0.074393027
40.0,41.14285714,5.448843591,177.0,0.61043153
1.0,3.0,-19.48424069,2.0,0.188793055
2.0,3.285714286,9.560723514,34.0,0.44649347
1.0,0.142857143,53.84615385,1.0,0.047691061
1.0,1.428571429,-10.3626943,78.0,2.584660899
2.0,1.285714286,-15.8490566,460.0,6.319795096
1.0,0.571428571,17.6,0.0,0.0
58.0,52.85714286,1.506672406,334.0,0.645332153
15.0,15.42857143,-10.53036126,9.0,0.022777762
0.0,0.571428571,-13.57142857,19.0,0.249511057
5.0,2.285714286,1.735015773,11.0,0.074098709
0.0,0.714285714,-0.282485876,24.0,0.537192404
1.0,1.428571429,-15.91448931,145.0,3.119088521
1.0,1.714285714,45.75471698,15.0,0.469675554
2.0,2.428571429,2.092050209,4.0,0.297572109
1.0,0.714285714,-22.29965157,23.0,0.514809387
1.0,1.571428571,-7.264957265,1.0,0.047691061
0.0,0.285714286,18.18181818,15.0,0.839365104
19.0,19.57142857,3.563714903,68.0,0.220386761
0.0,0.571428571,28.57142857,0.0,0.0
1.0,0.714285714,-12.19512195,15.0,0.775431036
0.0,0.428571429,-9.285714286,0.0,0.0
0.0,0.428571429,-15.49295775,21.0,2.373796005
409.0,478.8571429,0.391584842,674.0,0.203006577
0.0,1.0,2.673796791,11.0,0.377576876
2.0,1.714285714,-7.394366197,13.0,0.265133785
24.0,19.71428571,18.97435897,1325.0,6.811092324
3.0,1.714285714,-6.770833333,56.0,0.831820831
5.0,5.714285714,-25.18987342,23.0,0.269462232
2.0,2.428571429,-18.19571865,33.0,0.925591684
0.0,0.571428571,-18.18181818,0.0,0.0
23.0,20.14285714,-8.873184138,19.0,0.048086386
3.0,3.571428571,-25.40650407,4.0,0.059415774
0.0,2.0,37.06293706,17.0,0.538815304
3.0,8.0,-11.57347204,29.0,0.205088747
0.0,0.0,41.17647059,79.0,13.64989573
2.0,1.0,19.11764706,1.0,0.113037905
1.0,0.142857143,-8.771929825,29.0,2.978134332
27.0,29.57142857,-26.16679419,172.0,0.332326738
3.0,1.142857143,-14.73684211,0.0,0.0
11.0,6.571428571,10.79234973,23.0,0.269462232
6.0,3.142857143,8.860759494,4.0,0.112192931
12.0,11.57142857,38.03837953,1401.0,7.201766299
1.0,1.0,-4.642857143,22.0,0.358456344
5.0,7.714285714,-5.93445527,7.0,0.078809393
11.0,11.42857143,-3.713527851,6.0,0.042432155
1.0,1.714285714,1.587301587,0.0,0.0
7.0,5.857142857,20.28665932,317.0,2.135390062
0.0,0.571428571,-16.92307692,5.0,0.513471437
8.0,5.714285714,4.90797546,4.0,0.094837587
1.0,4.285714286,-14.61538462,1.0,0.016540737
20.0,25.28571429,-19.94206774,37.0,0.348483808
1.0,0.857142857,59.52380952,37.0,2.75254201
1.0,0.428571429,6.167400881,23.0,0.341640698
0.0,0.714285714,-6.603773585,7.0,0.221865125
0.0,0.571428571,20.0,1.0,0.07354504
0.0,0.571428571,-24.28571429,1.0,0.131222919
0.0,0.0,10.81081081,105.0,5.007561418
48.0,48.42857143,-13.18643484,91.0,0.643554344
25.0,18.14285714,-10.32745592,11.0,0.076648429
1.0,0.428571429,23.80952381,3.0,0.308082862
0.0,0.0,62.5,0.0,0.0
10.0,11.0,15.78947368,3.0,0.024471912
0.0,1.857142857,28.98550725,3.0,0.093575774
152.0,176.7142857,-0.840827192,0.0,0.0
8.0,10.71428571,-21.31624927,28.0,0.480898538
0.0,0.428571429,-10.52631579,28.0,3.674241728
3.0,2.285714286,19.78021978,3.0,0.167873021
0.0,0.714285714,-11.89427313,30.0,0.393964827
76.0,92.14285714,16.60797746,250.0,0.58525697
0.0,0.428571429,-2.325581395,3.0,0.393668757
9.0,12.85714286,-7.180570222,1.0,0.006968039
6.0,7.142857143,-12.29508197,12.0,0.157585931
4.0,4.285714286,22.64631043,0.0,0.0
56.0,54.85714286,22.67162221,49.0,0.330076066
2.0,5.428571429,1.795918367,121.0,1.035152407
16.0,13.42857143,-3.811792734,12.0,0.094698307
0.0,0.0,112.5,0.0,0.0
3.0,1.428571429,-34.45945946,0.0,0.0
41.0,42.14285714,4.513137558,298.0,0.754196999
2.0,2.142857143,-14.34511435,294.0,7.429925567
0.0,0.0,-39.13043478,1.0,0.102694287
12.0,10.0,-0.624219725,11.0,0.089730346
7.0,3.714285714,25.17385257,94.0,0.941237068
3.0,0.714285714,18.0,16.0,0.763056978
0.0,0.142857143,-16.0,1.0,0.070627853
1.0,0.714285714,-1.960784314,5.0,0.471982639
7.0,5.142857143,-11.37835338,2.0,0.01906926
2.0,1.428571429,11.96581197,0.0,0.0
3.0,0.857142857,-11.72413793,22.0,0.617061123
3.0,3.571428571,6.904761905,0.0,0.0
58.0,35.28571429,45.17482517,92.0,0.428350529
10.0,9.714285714,-8.791208791,10.0,0.112584847
0.0,0.571428571,36.58536585,47.0,1.47165007
3.0,2.857142857,4.255319149,9.0,0.227446701
6.0,5.571428571,-1.445783133,27.0,0.220247212
28.0,28.71428571,-17.04351536,353.0,0.893394431
0.0,0.0,-5.172413793,1.0,0.131222919
16.0,15.57142857,-6.237688772,270.0,0.521675693
1.0,0.428571429,36.69724771,0.0,0.0
0.0,0.571428571,-4.191616766,65.0,2.153884083
2.0,3.428571429,-10.15981735,115.0,0.363511649
3.0,3.285714286,10.98901099,143.0,2.124113907
4.0,2.285714286,-13.04347826,232.0,4.028661845
2.0,2.714285714,-20.14742015,0.0,0.0
3.0,2.0,-9.583333333,14.0,0.19234159
1.0,1.142857143,24.70588235,33.0,4.675883352
14.0,12.28571429,5.151515152,8.0,0.055744312
0.0,0.285714286,76.19047619,5.0,0.471982639
57.0,59.0,33.07086614,15.0,0.037962936
12.0,14.71428571,33.41772152,22.0,0.555980825
13.0,10.85714286,-5.04587156,0.0,0.0
3.0,1.428571429,-22.34848485,1.0,0.0935648
22.0,20.71428571,23.83873795,481.0,1.520426984
30.0,28.14285714,-20.27797577,35.0,0.273395017
8.0,7.714285714,-8.885542169,1.0,0.031191925
0.0,0.142857143,-27.86885246,5.0,0.371965136
11.0,14.42857143,-10.09244992,320.0,1.644943052
9.0,8.285714286,19.71940764,152.0,0.355836238
1.0,2.571428571,13.49206349,37.0,0.718626049
0.0,0.0,-10.0,0.0,0.0
9.0,6.714285714,41.63498099,2.0,0.018836963
4.0,1.857142857,-29.23728814,58.0,0.996146972
12.0,7.714285714,16.97742885,113.0,0.389710525
13.0,9.428571429,5.95390525,8.0,0.05388997
21.0,21.14285714,13.16211878,152.0,0.355836238
3.0,2.285714286,14.47963801,9.0,0.073415737
2.0,2.0,-7.335329341,4.0,0.223195977
29.0,32.28571429,-9.094163981,15.0,0.028981983
2.0,1.0,-12.32227488,6.0,0.20160281
0.0,0.428571429,-22.97297297,6.0,0.820181944
0.0,0.285714286,47.16981132,6.0,0.151631134
0.0,1.428571429,-10.0456621,0.0,0.0
0.0,0.857142857,41.55844156,70.0,9.918540444
12.0,7.142857143,16.75977654,6.0,0.05720778
6.0,6.0,2.678571429,9.0,0.302404214
9.0,5.714285714,-12.02531646,10.0,0.177316534
6.0,5.857142857,19.95841996,0.0,0.0
4.0,4.428571429,-16.58119658,8.0,0.138919374
55.0,70.0,2.221733392,71.0,0.579168595
0.0,0.428571429,6.71641791,86.0,1.849942157
10.0,9.571428571,-0.466562986,0.0,0.0
93.0,91.42857143,12.39972206,259.0,0.606326221
0.0,0.142857143,7.142857143,2.0,0.28338687
0.0,0.0,150.0,0.0,0.0
0.0,1.142857143,-30.17751479,0.0,0.0
24.0,16.57142857,70.23809524,13.0,0.066825811
1.0,0.428571429,-40.625,17.0,2.32384884
0.0,3.857142857,33.18965517,1.0,0.047691061
0.0,0.428571429,21.48148148,5.0,0.042774893
3.0,0.714285714,21.42857143,2.0,0.034349896
2.0,1.428571429,30.0,4.0,0.45215162
0.0,0.142857143,-22.35294118,1.0,0.070627853
5.0,5.142857143,-25.46374368,3.0,0.058266977
5.0,8.428571429,-21.11846946,12.0,0.084864309
7.0,8.571428571,2.247191011,0.0,0.0
1.0,1.714285714,6.382978723,13.0,0.102589833
0.0,0.0,-18.75,0.0,0.0
0.0,0.142857143,-11.76470588,50.0,8.63917451
37.0,39.57142857,1.890779669,75.0,0.243073633
2.0,0.857142857,41.26984127,0.0,0.0
14.0,11.42857143,-12.31067961,44.0,0.111357946
2.0,1.571428571,-18.1443299,91.0,0.294929341
3.0,2.0,17.79661017,54.0,1.514604575
0.0,0.0,31.57894737,0.0,0.0
10.0,10.0,-11.04100946,2.0,0.03258694
8.0,6.285714286,6.88225539,41.0,0.390919829
1.0,2.857142857,-6.95970696,1.0,0.023709397
6.0,8.285714286,-10.52227343,543.0,1.271178138
2.0,5.0,-24.60063898,384.0,3.132404793
3.0,3.142857143,9.808102345,1.0,0.022383017
0.0,0.142857143,4.651162791,0.0,0.0
16.0,15.42857143,4.786545925,39.0,0.271753521
1.0,0.857142857,2.43902439,1.0,0.113037905
14.0,15.28571429,18.25726141,7.0,0.017716037
0.0,0.142857143,-25.92592593,41.0,6.570628649
4.0,2.714285714,-5.154639175,0.0,0.0
0.0,1.0,-16.66666667,1.0,0.102694287
21.0,9.714285714,-9.794000723,23.0,0.469082851
0.0,0.285714286,60.0,1.0,0.051695402
12.0,7.571428571,-14.10788382,21.0,0.307504246
1.0,0.857142857,0.0,3.0,0.167873021
15.0,10.57142857,7.843137255,30.0,0.075925872
2.0,1.571428571,14.59854015,34.0,0.398335473
8.0,6.857142857,5.310425615,23.0,0.58125268
11.0,13.0,-38.42199949,2.0,0.044766034
4.0,4.0,5.243445693,76.0,0.724631877
1.0,0.428571429,-2.614379085,10.0,0.070720258
0.0,0.571428571,-16.54676259,3.0,0.07112819
0.0,0.428571429,-4.545454545,1.0,0.055957674
9.0,10.0,-14.6475306,175.0,0.409679879
0.0,0.428571429,-30.98591549,62.0,1.941325625
36.0,36.0,-7.610424569,895.0,0.269571049
4.0,2.857142857,-5.709023941,278.0,3.819354427
1.0,2.428571429,30.17751479,4.0,0.223830694
0.0,0.0,-40.17094017,13.0,0.193101264
32.0,31.71428571,32.74336283,2656.0,6.217770045
1.0,1.714285714,4.325699746,0.0,0.0
1.0,1.571428571,21.64179104,2.0,0.029707887
233.0,214.7142857,6.793701055,20521.0,6.18085753
13.0,12.14285714,-9.050142682,142.0,0.729943479
0.0,0.285714286,-28.20512821,90.0,2.921929928
21.0,19.71428571,-31.64823591,20.0,0.171099571
11.0,5.571428571,6.608969315,273.0,2.132481132
8.0,6.714285714,-8.865248227,2.0,0.020026321
3.0,7.142857143,-4.66507177,14.0,0.164020489
0.0,0.142857143,14.28571429,54.0,1.789380622
6.0,6.142857143,11.24908692,464.0,3.661667885
1.0,1.0,-18.42105263,0.0,0.0
13.0,10.42857143,1.93498452,6.0,0.20160281
